run_id,placement_mode,total_num_envs,micro_batch_size,timestamp,rollout_avg_time_s,rollout_total_epochs,step_time_s,generate_rollouts_time_s,actor_run_training_time_s,env_interact_time_s,rollout_generate_one_epoch_time_s,monitor_duration_s,gpu01_mem_avg_mb,gpu01_mem_max_mb,gpu01_mem_stable_mb,gpu01_util_avg_pct,gpu01_util_max_pct,gpu23_mem_avg_mb,gpu23_mem_max_mb,gpu23_mem_stable_mb,gpu23_util_avg_pct,gpu23_util_max_pct,rollout_phase_gpu01_mem_avg_mb,rollout_phase_gpu23_mem_avg_mb,rollout_phase_duration_s,training_phase_gpu01_mem_avg_mb,training_phase_gpu23_mem_avg_mb,training_phase_duration_s,cpu_avg_util_pct,cpu_max_util_pct,mem_avg_util_pct,mem_max_util_pct
env2_mbs1,split,2,1,20260401-033610,22.47,8.0,366.17,183.9,76.968,183.4,183.2,550.01,5863.642857142857,16528.0,8600.482142857143,5.571428571428571,100.0,14553.67857142857,30267.0,20118.071428571428,11.285714285714286,100.0,9569.727272727272,12971.42857142857,239.76,8605.296875,19787.6875,310.25,3.021785714285714,11.19,17.125357142857144,22.96
env2_mbs2,split,2,2,20260401-034528,22.74,8.0,336.177,186.2,50.606,185.8,185.5,520.009,5543.5,8639.0,8624.415094339623,3.9056603773584904,45.0,13878.745283018869,30275.0,19735.64150943396,7.150943396226415,100.0,8032.384615384615,12838.379310344828,241.92,8615.517857142857,19614.535714285714,278.08900000000006,3.070566037735849,11.54,16.91566037735849,22.91
env2_mbs4,split,2,4,20260401-035415,22.39,8.0,374.946,185.1,37.944,184.6,184.3,550.009,6643.0,16528.0,8615.17857142857,14.491071428571429,100.0,14124.160714285714,30251.0,18984.89285714286,7.455357142857143,100.0,14005.75,12862.333333333334,239.12,9283.35294117647,18717.79411764706,310.889,3.2591071428571428,11.3,16.75267857142857,22.92
env2_mbs8,split,2,8,20260401-040337,22.53,8.0,307.836,184.2,32.175,183.7,183.5,490.01,5510.59,16541.0,8272.78,7.26,100.0,13384.92,30221.0,18487.04,6.66,100.0,9765.57142857143,13791.333333333334,240.24,8616.666666666666,19256.5,249.76999999999998,3.1446000000000005,11.87,16.526,22.94
env2_mbs16,split,2,16,20260401-041148,23.53,8.0,319.013,194.7,30.296,194.1,193.8,490.007,5663.19,16152.0,8616.66,5.78,31.0,13718.4,28927.0,19154.4,6.8,100.0,9627.42857142857,13790.666666666666,248.24,8616.66,19154.4,241.767,3.1632000000000007,11.83,16.8076,22.92
env2_mbs32,split,2,32,20260401-042011,23.21,8.0,313.116,190.4,29.513,189.8,189.4,490.01,5515.95,16528.0,8283.38,7.36,100.0,14005.58,34473.0,19728.28,7.77,100.0,9766.0,13791.466666666667,245.68,8627.708333333334,19728.28,244.32999999999998,3.1812,11.42,16.7606,22.97
env4_mbs1,split,4,1,20260401-042828,30.86,8.0,611.032,248.9,150.3,247.5,246.8,790.008,8341.09375,17070.0,9375.7625,20.59375,100.0,15334.325,30265.0,19362.675,12.64375,100.0,15981.038461538461,14036.380952380952,306.88,9371.081632653062,19015.95918367347,483.12800000000004,3.684,11.93,18.371,24.34
env4_mbs2,split,4,2,20260401-044147,30.66,8.0,444.054,249.4,98.171,248.2,247.6,630.009,6640.3046875,9424.0,9387.5,6.546875,56.0,14677.3125,30275.0,19322.8125,11.2109375,100.0,9183.64,14444.904761904761,305.28,9388.59090909091,19266.81818181818,324.72900000000004,3.373125,11.63,18.1378125,24.36
env4_mbs4,split,4,4,20260401-045228,30.94,8.0,564.246,253.9,73.682,252.6,252.1,740.008,8152.56,17070.0,9379.893333333333,22.013333333333332,100.0,14828.126666666667,30239.0,18832.52,12.486666666666666,100.0,16665.041666666668,14248.414634146342,307.52,9342.795454545454,18631.977272727272,432.48800000000006,4.271599999999999,11.36,18.6992,24.86
env4_mbs8,split,4,8,20260401-050502,30.99,8.0,406.422,249.7,62.133,248.5,248.1,580.01,6497.703389830508,9424.0,9395.694915254237,6.5508474576271185,55.0,14192.57627118644,30221.0,19012.15254237288,10.26271186440678,100.0,9228.923076923076,14405.52380952381,307.91999999999996,9394.19642857143,19094.5,272.09000000000003,3.5401694915254236,11.9,18.449152542372882,24.76
